"Particule detection","Bounding rectangle","Area","Perimeter","Centroid","Fit Elipse","Shape","Feret’s diameter"
45,49,49,53,47,52,57,146
45,48,50,51,47,51,57,146
45,48,50,50,47,52,56,146
45,56,49,50,47,51,56,146
45,52,51,50,47,52,56,146
45,64,50,51,47,50,55,146
45,49,48,49,47,50,56,146
46,47,48,50,47,51,56,146
46,47,56,120,47,51,55,146
46,47,47,50,47,50,55,146
46,48,47,51,47,50,55,146
46,47,49,49,47,49,56,146
46,47,48,49,47,51,56,146
46,49,47,50,47,50,57,146
46,47,50,51,47,51,55,146
46,48,47,49,47,51,65,146
46,50,49,49,47,52,58,146
46,49,48,52,47,50,57,146
46,48,49,52,47,52,56,146
46,50,56,51,47,54,56,146
46,50,48,51,47,57,56,146
46,52,50,49,47,55,56,146
46,50,50,49,47,54,57,146
46,52,48,50,47,55,56,146
46,52,49,50,47,55,56,146
46,52,50,50,47,65,56,146
46,60,48,50,47,50,56,146
46,47,48,49,47,54,57,146
46,47,54,50,47,51,56,146
46,47,48,49,47,50,55,146
46,48,50,57,47,50,55,146
46,50,49,55,47,50,55,146
46,48,48,55,47,50,55,146
46,48,47,56,47,50,56,146
46,47,48,55,47,51,56,146
46,48,48,55,47,49,67,146
46,49,49,55,47,49,56,146
46,49,48,54,47,50,56,146
46,48,50,54,47,50,55,146
46,47,48,64,47,51,56,146
46,48,48,49,47,50,56,146
46,47,49,49,47,50,61,146
46,47,49,49,47,50,61,146
46,64,47,49,47,53,70,146
46,62,48,50,47,50,58,146
46,66,48,50,47,50,55,146
46,65,49,49,47,49,56,146
46,49,49,51,47,50,55,146
46,49,54,50,47,50,57,146
46,48,49,51,47,51,56,146
46,49,48,49,47,50,57,146
46,49,48,51,47,58,56,146
46,49,48,50,47,51,55,146
46,48,47,51,47,51,58,146
46,48,47,49,47,50,56,146
46,58,48,49,47,50,56,146
46,47,48,49,47,50,55,146
46,47,47,51,47,50,57,146
46,47,47,49,47,50,57,146
46,47,47,57,47,52,55,146
46,54,49,56,47,57,62,146
46,48,47,50,47,51,55,146
46,48,48,50,47,53,55,146
46,47,49,50,48,52,55,146
46,48,47,50,48,53,55,146
46,48,48,50,48,50,55,146
46,48,115,51,48,51,55,147
46,48,48,51,48,50,56,147
46,48,49,51,48,52,55,147
46,48,48,51,48,51,92,147
46,49,48,58,48,55,57,147
46,48,49,51,48,50,57,147
46,47,49,50,48,51,57,147
46,47,49,51,48,53,57,147
46,47,49,50,48,50,57,147
46,48,49,50,48,51,56,147
46,49,48,49,48,54,56,147
46,51,54,51,48,53,56,147
46,50,51,50,48,55,56,147
46,49,49,50,48,55,55,147
46,50,50,49,48,94,56,147
46,97,49,50,48,52,56,147
46,49,50,51,48,51,56,147
46,49,47,51,48,51,56,147
46,47,55,51,48,50,57,147
46,47,49,50,48,49,57,147
46,48,48,49,48,52,56,147
46,55,48,52,48,50,56,147
46,52,48,51,48,51,56,147
46,55,48,52,48,51,57,147
46,55,48,52,48,51,56,147
46,51,48,50,48,50,56,147
46,51,48,51,48,52,57,147
46,52,48,50,48,50,56,147
46,54,48,50,48,51,55,147
46,54,48,49,48,51,56,147
46,52,50,50,48,54,56,147
46,50,49,49,48,50,57,147
46,46,49,53,48,52,65,147
46,47,49,50,48,49,56,147
46,48,48,51,48,50,56,147
46,47,48,49,48,50,56,147
46,49,49,62,48,53,57,147
46,48,49,50,48,52,56,147
46,47,49,50,48,51,57,147
46,47,49,51,48,52,55,147
46,46,50,50,48,51,55,147
46,46,58,50,48,53,57,147
46,46,48,49,48,50,56,147
46,47,47,50,48,51,56,147
46,47,47,50,48,51,56,147
46,49,49,50,48,62,58,147
46,51,48,50,48,50,59,147
46,71,48,50,48,51,57,147
46,56,47,51,48,50,58,147
46,55,50,50,48,49,57,147
46,51,48,51,48,50,58,147
46,51,48,50,48,50,57,147
46,51,49,50,48,50,56,147
46,54,48,51,48,50,58,147
46,54,49,51,48,52,57,147
